gpsProvider,date,dateReceived,dateProcessed,plateNumber,longitude,latitude,speed,engineState,odometer,motorHour,deviceType,Device_InstallationDate,locationName,heading,VehicleAvailabilityEvent_AvailabilityStateType,VehicleEntity_Year,VehicleAvailabilityEvent_AvailabilityChanged,VehicleEntity_VehicleType,territoriesName,Device_ID,PositionEvent_TripEventID,AccessoryEvent_EngineCodeDetails,Balise Détectée,acc242,Gen IO Input1,État du Lecteur de Badge,Position de la Cabine,OPS_Rear Cabin Status_I/O,Perte Alimentation,Voltage Alimentation,Voltage Batterie Interne,Mouvement Détecté,État  Batterie Interne,exitTerritories,enterTerritories
A,2025-08-12 00:00:01,2025-08-12 00:00:07.406,2025-08-12 00:00:07.428,310 F 966,2.552129,49.00328,4,Running,2621.7900390625,1280.55224609375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[],,,,,,,,,,,,,
A,2025-08-12 00:00:01,2025-08-12 00:00:07.406,2025-08-12 00:00:07.469,310 F 966,2.552129,49.00328,4,Running,2621.7900390625,1280.55224609375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[{CategoryDescription=null,1|00000000000465|-70,1|00000000000465|-70,,,,,,,,,,,
A,2025-08-12 00:00:18,2025-08-12 00:00:22.261,2025-08-12 00:00:22.266,310 F 966,2.552148,49.003283,0,Idle,2621.7900390625,1280.556884765625,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[],,,,,,,,,,,,,
A,2025-08-12 00:00:18,2025-08-12 00:00:22.261,2025-08-12 00:00:22.296,310 F 966,2.552148,49.003283,0,Idle,2621.7900390625,1280.556884765625,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[],,,0.08,,,,,,,,,,
A,2025-08-12 00:00:30,2025-08-12 00:00:51.936,2025-08-12 00:00:51.941,310 F 966,2.552148,49.003283,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[],,,,,,,,,,,,,
A,2025-08-12 00:00:30,2025-08-12 00:00:51.936,2025-08-12 00:00:52.028,310 F 966,2.552148,49.003283,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,533098.0,[{CategoryDescription=null,1|00000000000465|-77,1|00000000000465|-77,,,,,,,,,,,
A,2025-08-12 00:00:32,2025-08-12 00:00:56.318,2025-08-12 00:00:56.330,310 F 966,2.552148,49.003283,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,,[],,,,,,,,,,,,,
A,2025-08-12 00:00:32,2025-08-12 00:00:56.318,2025-08-12 00:00:56.347,310 F 966,2.552148,49.003283,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,,[],,,,Disconnected,,,,,,,,,
A,2025-08-12 00:00:32,2025-08-12 00:00:56.318,2025-08-12 00:00:56.378,310 F 966,2.552148,49.003283,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,,[],,,,,Cabine BASSE,,,,,,,,
A,2025-08-12 00:00:37,2025-08-12 00:00:56.318,2025-08-12 00:00:56.406,310 F 966,2.552168,49.003287,0,Off,2621.7900390625,1280.560302734375,AstusTagV3,2025-03-05T10_35_56Z,G20,78,Available,0,2025-08-11T21_35_32Z,Automobile,SERVAIR 1,3302867,,[],,,,,,,,,,,,,
